38	小说	丰乳肥臀-莫言文集-中国首位诺贝尔文学奖得主莫言代表作	莫言 著	30.8	6.7折	2012-11-01	46.0	作家出版社	2022-10-27 22:25:35
39	小说	兄弟们	[俄] 费奥多尔·陀思妥耶夫斯基 著，耿济之 译	28.2	8.1折	2013-01-01	35.0	中国国际广播出版社	2022-10-27 22:25:35
40	小说	终身美丽	派珀	10.2	3.2折	2015-02-01	32.0	长江文艺出版社	2022-10-27 22:25:35
41	小说	砂女	安部公房	23.4	6折	2018-08-01	39.0	人民文学出版社	2022-10-27 22:25:36
42	小说	雾之旗	（日）松本清张	23.9	4.8折	2018-01-01	49.8	长江文艺出版社	2022-10-27 22:25:36
43	小说	农民-世界名著名译文库-全译本	巴尔扎克	19.7	4.8折	2016-08-01	41.0	江西教育出版社	2022-10-27 22:25:36
44	小说	我是猫	[日] 夏目漱石 著，孙静 译	18.9	4.1折	2020-01-01	46.0	北京联合出版公司	2022-10-27 22:25:36
45	小说	平面国:一个多维的传奇故事	[英] 艾勃特 著，杜景平 译	12.4	4.3折	2018-11-01	28.8	台海出版社	2022-10-27 22:25:37
46	小说	萤火虫小巷	汉娜	16.9	4.7折	2015-11-01	36.0	百花洲文艺出版社	2022-10-27 22:25:37
47	小说	消失的地平线	[英] 詹姆斯·希尔顿 著，胡蕊/张颖 译	12.0	4.8折	2006-06-01	25.0	云南人民出版社	2022-10-27 22:25:37
48	小说	手机	刘震云	10.8	6折	2009-07-01	18.0	作家出版社	2022-10-27 22:25:37
49	小说	生死桥	李碧华著	7.4	3.2折	2009-04-01	23.0	中国文联出版社	2022-10-27 22:25:37
50	小说	儒林外史	[清] 吴敬梓 著，侯会 校注	11.9	3.4折	2003-01-01	35.0	金盾出版社	2022-10-27 22:25:38
51	小说	白鹿原	陈忠实	30.6	6.8折	1993-06-01	45.0	人民文学出版社	2022-10-27 22:25:38
52	小说	红日-现当代长篇小说典藏插图本	吴强	13.4	3.2折	2017-10-01	42.0	长江文艺出版社	2022-10-27 22:25:38
53	小说	往米年	王建中  著	13.3	5.1折	2010-05-01	26.0	中州古籍出版社	2022-10-27 22:25:41
54	小说	包法利夫人	[法] 福楼拜 著，罗国林 译	7.9	3.2折	2010-11-01	24.8	中央编译出版社	2022-10-27 22:25:41
55	小说	醒世恒言	[明] 冯梦龙 编	12.5	4.3折	2011-11-01	29.0	海天出版社	2022-10-27 22:25:41
56	小说	我在等风 也在等你	雨彤著	10.2	3.2折	2019-01-01	32.0	北京联合出版公司	2022-10-27 22:25:41
57	小说	平凡的世界	路遥	93.8	6.8折	2021-06-01	138.0	北京十月文艺出版社	2022-10-27 22:25:42
58	小说	百年好合	蒋晓云	22.4	3.8折	2020-08-01	59.0	文汇出版社	2022-10-27 22:25:42
59	小说	沧浪之水	阎真	35.8	7.3折	2021-07-01	49.0	北京十月文艺出版社	2022-10-27 22:25:42
60	小说	野性的呼唤	[美] 杰克·伦敦 著，李妍 译	27.0	7.5折	2020-08-01	36.0	中国华侨出版社	2022-10-27 22:25:42
61	小说	恋情的终结	[英]格雷厄姆·格林 著，柯平 译	18.6	3.2折	2017-03-01	58.0	江苏凤凰文艺出版社	2022-10-27 22:25:42
62	小说	极花	贾平凹	9.6	3折	2017-06-01	32.0	天地出版社	2022-10-27 22:25:43
63	小说	黑暗森林-三体-II-典藏版	刘慈欣	30.2	7.2折	2016-06-01	42.0	重庆出版社	2022-10-27 22:25:43
64	小说	我的奇妙书店	[德]佩特拉·哈特利布 著,王海涛 译	13.5	3.4折	2017-06-01	39.8	中国友谊出版公司	2022-10-27 22:25:43
65	小说	理想	[美] 安.兰德 著，郑齐/张林 译	20.3	4.5折	2017-02-01	45.0	重庆出版社	2022-10-27 22:25:43
66	小说	海边的卡夫卡	[日] 村上春树 著，林少华 译	41.3	7折	2017-06-01	59.0	上海译文出版社	2022-10-27 22:25:44
67	小说	特工徐向璧	小白	4.8	3.5折	2014-05-01	13.8	海豚出版社	2022-10-27 22:25:44
68	小说	侵入者-D·H·劳伦斯长篇小说全集	[英]劳伦斯 著，刘华东 译	5.1	3折	2010-05-01	17.0	山东文艺出版社	2022-10-27 22:25:44
69	小说	故事新编	鲁迅	10.8	4.3折	2015-01-01	25.0	天津人民出版社	2022-10-27 22:25:44
70	小说	呼啸山庄-全译本	艾米莉·勃朗特	6.4	3.2折	2015-02-01	20.0	中国言实出版社	2022-10-27 22:25:44
71	小说	装在套子里的人-契诃夫短篇小说精选	本书编委会	6.3	4.9折	2015-05-01	12.8	江苏美术出版社	2022-10-27 22:25:45
72	小说	爱伦.坡小说精选-名家名译世界文学名著	爱伦.坡	13.7	3.8折	2015-10-01	36.0	北京理工大学出版社	2022-10-27 22:25:45
73	小说	时间之间	[英] 珍妮特·温特森 著，于是 译	15.9	3.2折	2016-05-01	49.8	北京联合出版公司	2022-10-27 22:25:45
74	小说	死神永生-三体-III-典藏版	刘慈欣	34.6	7.2折	2016-06-01	48.0	重庆出版社	2022-10-27 22:25:45
75	小说	套中人-世界文学名著典藏-全译插图本	（俄）契诃夫 著，汝龙 朱宪生 译	7.0	3.2折	2013-06-01	22.0	长江文艺出版社	2022-10-27 22:25:45
76	小说	童年的终结	[英] 阿瑟·克拉克 著，于大卫 译	23.1	5.5折	2017-03-01	42.0	江苏凤凰文艺出版社	2022-10-27 22:25:46
77	小说	遥远的救世主	豆豆	26.4	5.5折	2008-04-01	48.0	作家出版社	2022-10-27 22:25:46
78	小说	罗生门	[日]芥川龙之介 著，静远 译	18.7	5.2折	2020-01-01	36.0	北京联合出版公司	2022-10-27 22:25:46
