id	pub_date	position	address	education	salary	company	rate	duration
13691	2022-03-12	算法岗_0	北京/上海/广州/杭州/深圳/南京/成都/厦门/武汉/西安/邯郸/通辽/石家庄/唐山/赤峰/长治	本科	4.5	字节跳动	0.93	13
13692	2022-05-14	运营岗_0	北京/上海/广州/杭州/深圳/南京/成都/厦门/武汉/西安/通辽/石家庄/晋城/邢台/阳泉/长治	本科	4.5	字节跳动	0.93	13
13693	2022-03-06	数据岗_0	北京/上海/广州/杭州/深圳/南京/成都/厦门/武汉/西安/赤峰/阳泉/邯郸/通辽	本科	4.5	字节跳动	0.93	13
13694	2022-03-07	开发岗_0	上海/北京/杭州/广州/深圳/南京/成都/武汉/厦门/西安/邢台/晋城/大同	本科	4.5	字节跳动	0.93	13
13695	2022-03-21	其他_0	上海/北京/杭州/广州/深圳/南京/成都/武汉/厦门/西安/邢台/晋城/大同	本科	4.5	字节跳动	0.93	13
13696	2022-04-20	开发岗_0	上海/北京/杭州/广州/深圳/南京/成都/武汉/厦门/西安/邢台/晋城/大同	本科	7.2	字节跳动	0.93	13
13697	2022-04-12	开发岗_0	上海/北京/杭州/广州/深圳/南京/成都/武汉/厦门/西安/邢台/晋城/大同	本科	7.2	字节跳动	0.93	13
13698	2022-04-12	运营岗_0	上海/北京/杭州/广州/深圳/南京/成都/武汉/厦门/西安/邢台/晋城/大同	本科	7.2	字节跳动	0.93	13
13699	2022-05-09	数据岗_0	北京/上海/杭州/深圳/南京/成都/厦门/武汉/西安/广州/邯郸/长治	本科	6.8	字节跳动	0.99	17
13700	2022-03-20	开发岗_0	北京/上海/厦门	本科	4.5	美团	0.99	1
13701	2022-03-30	开发岗_0	北京/杭州	本科	10.5	滴滴	0.97	20
13702	2022-04-08	算法岗_0	北京/上海/深圳/杭州/南京/成都/厦门/武汉/西安/广州/乌海/邢台/长治/阳泉/秦皇岛	本科	13.5	字节跳动	0.99	17
13703	2022-05-10	开发岗_0	北京/上海/杭州/深圳/南京/成都/厦门/武汉/西安/大同/本溪/邯郸/唐山/乌海/广州/晋城/通辽/秦皇岛	本科	13.5	字节跳动	0.99	17
13704	2022-03-15	开发岗_0	北京/上海/广州/杭州/南京/成都/厦门/武汉/西安/运城/深圳/赤峰/阳泉/丹东/邢台/晋城	本科	13.5	字节跳动	0.99	17
13705	2022-03-23	开发岗_0	北京/石家庄/太原/上海/广州/杭州/南京/成都/厦门/武汉/西安/运城/深圳/本溪/赤峰/通辽/邯郸/阳泉	本科	13.5	字节跳动	0.99	17
13706	2022-03-28	其他_0	北京/上海/深圳/杭州/厦门/南京/成都/武汉/西安/淮南/运城/忻州/广州/鄂尔多斯/通辽/阳泉/长治/秦皇岛	本科	4.5	字节跳动	0.99	17
13707	2022-05-24	数据岗_1	北京/广州/杭州/南京/厦门/成都/武汉/西安/乌海/承德/深圳/晋城/上海/邯郸/通辽/秦皇岛/阳泉	本科	1.3	字节跳动	0.99	17
13708	2022-05-19	运营岗_0	北京/上海/深圳/杭州/成都/南京/厦门/武汉/西安/唐山/乌海/广州/邯郸/阳泉/秦皇岛	本科	4.5	字节跳动	0.99	17
13709	2022-03-19	数据岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/西安/武汉/晋城/赤峰/邯郸/秦皇岛/阳泉	本科	4.5	字节跳动	0.99	17
13710	2022-03-19	数据岗_0	上海/北京/深圳/杭州/南京/成都/厦门/武汉/西安/阳泉/抚顺/广州/晋城/秦皇岛	本科	4.5	字节跳动	0.99	17
13711	2022-04-20	运营岗_0	北京/上海/广州/深圳/杭州/厦门/成都/南京/武汉/西安/通辽/邯郸/长治	本科	4.5	字节跳动	0.99	17
13712	2022-05-14	运营岗_0	北京/深圳/成都/厦门/武汉/西安/南京/杭州/广州/阳泉/唐山/晋城/上海/秦皇岛/长治/邯郸	本科	4.5	字节跳动	0.99	17
13713	2022-03-07	数据岗_0	北京/上海/深圳/杭州/南京/成都/厦门/西安/武汉/衡水/大同/通辽/唐山/广州/阳泉/秦皇岛/邯郸	本科	4.5	字节跳动	0.99	17
13714	2022-04-12	运营岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安/晋城/长治	本科	4.5	字节跳动	0.99	17
