商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,采集时间
【主播福利】100袋lezff安瓶精华睡眠面膜补水保湿嫩肤提亮肤色,9.9,13.00%,1.29,已售：99.9万,结束：2024-03-31,39.4万,,多多美护肤精选个体店,4.87,4.82,,2023-04-18 21:38:29.390
unny防晒霜面部隔离防晒乳男女防紫外线清透学生党养肤官方正品,64,35.00%,22.4,已售：27.4万,结束：2023-05-20,2.8万,,UNNY CLUB护肤旗舰店,4.98,4.96,,2023-04-18 21:38:29.460
【千万补贴】100袋lezff冻干粉免洗睡眠面膜提亮肤色嫩肤补水保湿,9.9,12.00%,1.19,已售：505.0万,结束：2023-12-31,15.1万,,美多多护肤精选,4.84,4.79,,2023-04-18 21:38:29.538
姿珂莱美白淡斑洗面奶深层清洁紧致毛孔清肌 洁面乳控油除螨通用,39.9,55.00%,21.94,已售：52.6万,结束：2023-06-01,1.1万,,姿珂莱美妆店,4.67,4.75,,2023-04-18 21:38:29.622
【美白+防晒+隔离三合一】防晒霜SPF50PA+++美白防晒防汗防紫外线,39.9,47.00%,18.75,已售：8.2万,结束：2026-01-31,1.7万,,搏盈美妆专营店,4.85,4.9,,2023-04-18 21:38:29.710
【达人】23年新升级泰国Mistine泰版小黄帽防晒霜40ml,59,25.00%,14.75,已售：14.9万,结束：2023-11-30,,,Mistine海外旗舰店,4.97,4.87,,2023-04-18 21:38:29.803
【带收纳盒】超大号棉花糖100分气垫粉扑不吃粉粉扑干湿两用推荐,6.6,60.00%,3.96,已售：46.3万,结束：2023-07-31,6762,,添意美妆专营店,4.71,4.97,,2023-04-18 21:38:29.889
蒂洛薇dirovo紧致抗皱抚纹臻润眼膜拍1发50片再送仪器（GC）,69.9,38.00%,26.56,已售：28.2万,结束：2023-07-31,1577,,蒂洛薇官方旗舰店,4.93,4.86,,2023-04-18 21:38:29.974
梵西贵妇黄金眼膜贴 淡化细纹眼纹泪沟抗皱提拉紧致眼膜护肤滋润,69,35.00%,24.15,已售：66.4万,结束：2024-03-08,,,梵西FONCE官方旗舰店,4.96,3.55,,2023-04-18 21:38:30.066
【到手4瓶】名巢MINGNEST黑绷带洗面奶,19.9,35.00%,6.96,已售：25.4万,结束：2023-10-01,2.4万,,名巢MINGNEST护肤旗舰店,4.81,4.89,,2023-04-18 21:38:30.150
官方旗舰店AHC防晒霜面部防紫外线隔离防晒女士男士正品防水清爽,69,22.00%,15.18,已售：75.0万,结束：2023-12-31,,,AHC旗舰店,4.97,4.97,,2023-04-18 21:38:30.239
【粉丝福利】到手1盒100条冻干粉睡眠面膜免洗补水抗皱紧致淡纹,9.9,35.00%,3.46,已售：25.4万,结束：2023-06-30,7.0万,,益若翼个人护理旗舰店,4.55,4.79,,2023-04-18 21:38:30.331
【主播浮力】100袋lezff冻干粉精华睡眠面膜补水保湿嫩肤提亮肤色,9.9,12.00%,1.19,已售：133.1万,结束：2025-02-14,14.0万,,多美丽严选,4.9,4.85,,2023-04-18 21:38:30.424
【粉丝专享】紧致护肤补水5件套 细致肌肤 补水保湿修护 清洁眼霜,88,32.00%,28.16,已售：19.3万,结束：2023-11-17,6103,,药都仁和美妆旗舰店,4.99,4.98,,2023-04-18 21:38:30.516
【9.9到手100袋】补水冻干粉水光透亮睡眠面膜保湿清爽免洗面膜,9.9,30.00%,2.97,已售：25.2万,结束：2023-05-31,,,新时代美妆个体店,4.76,4.99,,2023-04-18 21:38:30.609
韩国米澳拉MIORIO黄糖去角质凝露脸部深层清洁毛孔啫喱150ML凝胶,48,27.00%,12.96,已售：30.0万,结束：2023-05-01,5.9万,,MIORIO旗舰店,4.95,4.6,,2023-04-18 21:38:30.678
【美诺品牌】美诺兔年限定大白饼 定妆控油防水防汗粉饼哑光柔雾,35.9,30.00%,10.77,已售：33.4万,结束：2024-01-26,1.7万,,美诺官方旗舰店,4.86,4.47,,2023-04-18 21:38:30.761
【百万宠粉】100袋lezff冻干粉免洗睡眠面膜补水保湿提亮肤色嫩肤,9.9,12.00%,1.19,已售：151.2万,结束：2024-01-31,2.7万,,美多多护肤精选,4.84,4.79,,2023-04-18 21:38:30.841
【专属】正品novo秋夏唇釉空气女雾面丝哑光平价小众品牌口红素颜,29.9,65.00%,19.44,已售：24.8万,结束：2024-05-31,1.0万,,伊莲娜美妆店,4.69,4.96,,2023-04-18 21:38:30.916
【2支9.9】懒人眼影笔一抹成型大地色卧蚕提亮双头眼影棒不飞粉,9.9,53.00%,5.25,已售：13.2万,结束：2024-04-30,1569,,甄选美妆专营店,4.76,4.99,,2023-04-18 21:38:30.993
【千万补贴】120袋免洗睡眠面膜补水保湿进口原料奶白改善暗沉,9.9,12.00%,1.19,已售：229.0万,结束：2024-01-31,7.5万,,曾曾美妆,4.92,4.88,,2023-04-18 21:38:31.073
【粉丝福利】 120袋 免洗睡眠面膜补水保湿 提亮肤色 改善暗沉,9.9,11.00%,1.09,已售：105.9万,结束：2023-04-19,16.0万,,曾曾美妆,4.92,4.88,,2023-04-18 21:38:31.143
【9.9两支】睫毛膏女纤长卷翘细刷头不易晕染彩色不脱妆,9.9,40.00%,3.96,已售：114.8万,结束：2024-01-31,3.1万,,恒馨哲化妆品专营店,4.69,4.98,,2023-04-18 21:38:31.222
芳语8支眼影刷化妆刷眼部套刷眼影刷送刷包软毛化妆刷套装,39,43.00%,16.77,已售：17.8万,结束：2024-02-29,1.4万,,芳语旗舰店,4.99,4.88,,2023-04-18 21:38:31.296
【官方正品】tfit三色遮瑕膏遮暇盘遮盖斑点痘印旗舰店正品黑眼圈,59,20.00%,11.8,已售：185.4万,结束：2023-05-31,,,TFIT官方旗舰店,4.69,4.99,,2023-04-18 21:38:31.387
虾青素【熬夜填充安瓶】抗氧亮肤10支保湿精华液,299,35.00%,104.65,已售：24.5万,结束：2028-08-23,888,,俏芭莎旗舰店,4.97,4.97,,2023-04-18 21:38:31.463
【达人专享】Judydoll橘朵金属钢管睫毛膏防水纤长不晕染极细卷翘,34.8,25.00%,8.7,已售：49.4万,结束：2023-06-30,1.5万,,橘朵官方旗舰店,4.88,4.96,,2023-04-18 21:38:31.551
【达人专享】Judydoll橘朵七巧板玩趣眼影水泥大地色腮红高光修容,64.8,27.00%,17.5,已售：36.5万,结束：2023-06-30,1.1万,,橘朵官方旗舰店,4.88,4.96,,2023-04-18 21:38:31.643
【拍1发3六重玻尿酸深度补水保湿面膜】补水保湿 深层锁水提亮   ,58,38.00%,22.04,已售：83.7万,结束：2023-11-17,7947,,药都仁和美妆旗舰店,4.99,4.98,,2023-04-18 21:38:31.759
兰亭玻尿酸原液精华液大容量深层补水保湿提亮肤色220ml  TB,39.9,40.00%,15.96,已售：151.0万,结束：2023-10-31,6774,,兰亭官方旗舰店,4.71,4.97,,2023-04-18 21:38:31.843
【达人心选】Colorkey珂拉琪唇泥春夏樱花小彩弹黄皮学生党唇釉,69,25.00%,17.25,已售：11.3万,结束：2023-04-30,6498,,珂拉琪colorkey官方旗舰店,4.63,4.94,,2023-04-18 21:38:31.941
【2支9.9 再送唇刷】尤雾弹唇釉学生哑光丝绒柔雾唇泥显白高颜值,9.9,33.00%,3.27,已售：22.6万,结束：2023-06-30,1.9万,,添意美妆专营店,4.71,4.97,,2023-04-18 21:38:32.025
朱莉欧素颜霜隔离遮瑕保湿自然不假白懒人霜面部提亮身体乳男女,99,40.00%,39.6,已售：9.5万,结束：2023-06-30,1824,,朱莉欧JUELREOU美妆旗舰店,4.22,4.98,,2023-04-18 21:38:32.115
【买1送1】专抹大眼袋泪沟淡化细纹眼纹黑眼圈抗皱紧致虫草眼霜,69.9,40.00%,27.96,已售：2.0万,结束：2024-03-30,,,奥色木美妆旗舰店,4.87,4.99,,2023-04-18 21:38:32.208
【防晒+隔离+美白三合一】零系SPF50+防晒防汗防紫外线清爽防晒霜,49.9,30.00%,14.97,已售：10.9万,结束：2024-03-28,,,上玖专营店,4.86,4.92,,2023-04-18 21:38:32.299
